release_date,movie,production_budget,domestic_gross,worldwide_gross,approx_profit,approx_profit_perc,year_of_release,month_of_release
2014-11-07,the theory of everything,15000000,35893537,123327692,108327692,722.18,2014,11
2011-09-16,drive,15000000,35060689,81357930,66357930,442.39,2011,9
2000-03-31,the skulls,15000000,35007180,35007180,20007180,133.38,2000,3
1966-10-10,hawaii,15000000,34562222,34562222,19562222,130.41,1966,10
2018-11-23,the favourite,15000000,34366783,94113929,79113929,527.43,2018,11
2003-04-18,malibu's most wanted,15000000,34308901,34499204,19499204,129.99,2003,4
2009-09-04,all about steve,15000000,33862903,40127259,25127259,167.52,2009,9
2000-04-28,where the heart is,15000000,33771174,40862054,25862054,172.41,2000,4
2009-08-28,halloween 2,15000000,33392973,38512850,23512850,156.75,2009,8
2009-03-13,the last house on the left,15000000,32752215,46526243,31526243,210.17,2009,3
2005-02-18,because of winn-dixie,15000000,32647042,33508485,18508485,123.39,2005,2
2005-02-04,the wedding date,15000000,31726995,47175038,32175038,214.5,2005,2
1987-09-25,the princess bride,15000000,30857000,30859628,15859628,105.73,1987,9
2002-07-12,halloween: resurrection,15000000,30259652,37659652,22659652,151.06,2002,7
2007-12-25,the great debaters,15000000,30226144,30261293,15261293,101.74,2007,12
2014-08-22,when the game stands tall,15000000,30127963,30138912,15138912,100.93,2014,8
1981-06-12,clash of the titans,15000000,30000000,44400000,29400000,196.0,1981,6
2004-02-20,confessions of a teenage drama queen,15000000,29331068,33118854,18118854,120.79,2004,2
1998-04-17,the object of my affection,15000000,29145924,29145924,14145924,94.31,1998,4
2007-05-11,28 weeks later,15000000,28638916,64232714,49232714,328.22,2007,5
1997-04-11,grosse pointe blank,15000000,28084357,31070412,16070412,107.14,1997,4
2000-04-21,love and basketball,15000000,27441122,27709625,12709625,84.73,2000,4
2017-09-08,home again,15000000,27020284,37336874,22336874,148.91,2017,9
2000-10-27,book of shadows: blair witch 2,15000000,26421314,47721314,32721314,218.14,2000,10
1997-10-10,boogie nights,15000000,26410771,43111725,28111725,187.41,1997,10
2010-07-23,ramona and beezus,15000000,26167002,27469621,12469621,83.13,2010,7
